,track_name,available_markets,duration_ms,explicit,artists_names,principal_artist_name,principal_artist_followers,acousticness,danceability,energy,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,year,sound_system
4907,It's So Hard (feat. Donell Jones) (feat. Donnell Jones),"Europe, Africa, Asia, America, Oceania",172933,True,Big Pun;Donnell Jones,Big Pun,1302536,0.0554,0.9,0.593,10,0.0304,-6.629,A,0.333,92.946,4,0.633,56,2000,F-Sharp Minor
4908,It's The End Of The World As We Know It (And I Feel Fine),"Europe, Africa, Asia, America, Oceania",246933,False,R.E.M.,R.E.M.,4159260,0.0258,0.381,0.894,7,0.0251,-8.638,B,0.037,205.528,4,0.797,71,1987,C Major
4909,It's Time,America,237986,False,Imagine Dragons,Imagine Dragons,49967631,0.0162,0.656,0.884,2,0.145,-4.748,B,0.0372,105.009,4,0.86,69,2012,D-Flat Major
4910,It's Tricky,"Europe, Africa, Asia, America, Oceania",183760,False,Run–D.M.C.,Run–D.M.C.,1279436,0.00131,0.965,0.857,11,0.0726,-8.458,A,0.17,127.656,4,0.951,72,1986,D-Flat Minor
4911,It's You,"Europe, Africa, Asia, America, Oceania",212606,False,Ali Gatie,Ali Gatie,2081014,0.374,0.732,0.463,11,0.194,-6.972,A,0.0287,95.971,4,0.397,81,2019,D-Flat Minor
4912,It's Your Love,"Europe, Africa, Asia, America, Oceania",227333,False,Tim McGraw;Faith Hill,Tim McGraw,4457684,0.526,0.474,0.528,7,0.109,-8.588,B,0.0276,144.366,4,0.364,64,1997,C Major
4913,It's a Sin - 2018 Remaster,"Europe, Africa, Asia, America, Oceania",299253,False,Pet Shop Boys,Pet Shop Boys,1621515,0.206,0.544,0.86,0,0.213,-6.151,A,0.0489,127.129,4,0.284,68,1987,A-Flat Minor
4914,It's in the Way That You Use It,"Europe, Africa, Asia, America, Oceania",251453,False,Eric Clapton,Eric Clapton,5515091,0.108,0.534,0.925,1,0.0634,-5.004,A,0.0392,200.75,4,0.88,53,1986,E-Flat Minor
4915,It’s Nice To Have A Friend,"Europe, Africa, Asia, America, Oceania",150440,False,Taylor Swift,Taylor Swift,84618954,0.971,0.737,0.175,10,0.171,-9.912,B,0.0401,70.008,4,0.545,74,2019,A Major
4916,Ivy,"Europe, Africa, Asia, America, Oceania",249191,True,Frank Ocean,Frank Ocean,11697765,0.785,0.575,0.386,9,0.229,-9.584,A,0.037,116.408,4,0.466,82,2016,B Minor
4917,Izzo (H.O.V.A.),"Europe, Africa, Asia, America, Oceania",240626,True,JAY-Z,JAY-Z,8594492,0.0178,0.618,0.844,1,0.0634,-4.051,A,0.342,84.411,4,0.697,63,2001,E-Flat Minor
